experiment,group,path_name,path_type,synthetic_path,vegsystemreferanse,kommune,path_length_m,num_waypoints,path_max_abs_kappa,path_mean_abs_kappa,ctrl_model,plant_model,mu_ctrl,mu_plant,stiffness_scale_ctrl,stiffness_scale_plant,vx_nominal,vx_min,vx_max,ay_max,N,dt,sim_time,failed,error,rms_ey_m,max_abs_ey_m,p95_abs_ey_m,iae_ey_m_s,rms_epsi_deg,max_abs_epsi_deg,iae_epsi_rad_s,iae_epsi_deg_s,max_abs_delta_deg,rms_delta_deg,max_abs_ddelta_deg_s,rms_ddelta_deg_s,iadc_rad,iadc_deg,mean_cnxte,p95_cnxte,max_cnxte,mean_abs_kappa,max_abs_kappa,mean_vx_m_s,min_vx_m_s,max_vx_m_s,duration_s,progress_m,completion_pct,avg_solve_ms,max_solve_ms,avg_ipopt_iter,max_ipopt_iter,hard_failures,soft_warnings,max_abs_vy_m_s,max_abs_r_rad_s,mean_ay_demand_m_s2,max_ay_demand_m_s2,mu_g_plant_m_s2,max_ay_over_mu_g,wall_time_s
tiremodel_KV1167_linear_pacejka_v7_mu08,tire_model,NVDB_KV1167,nvdb,,KV1167,3201,500.47253726483416,90,0.08781858111982094,0.012128119280210702,linear,pacejka,0.8,0.8,1.0,1.0,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.012853132187696369,0.05513465567081895,0.029120977323074414,0.6119241896414318,1.1755131168915176,6.095325596080058,1.0243203463018158,58.689232712472965,11.702479726780627,2.4092080532165245,21.834663694943487,4.278176431645521,3.8813786291435,222.3866141421957,0.0001843780257327123,0.0009180866264625182,0.004566738148198131,0.012740940255523619,0.08729368883860834,6.9076009465757116,4.145707073742503,7.0,72.0,498.1703856543627,99.54000440802345,3.2204464517130766,4.228617995977402,3.0332871012482663,4,0,0,0.4741830143852516,0.3443163567923637,0.5626931941046677,2.2732043528985195,7.848000000000001,0.28965396953345046,2.568869919516146
tiremodel_KV1167_dugoff_pacejka_v7_mu08,tire_model,NVDB_KV1167,nvdb,,KV1167,3201,500.47253726483416,90,0.08781858111982094,0.012128119280210702,dugoff,pacejka,0.8,0.8,1.0,1.0,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.012327040831974126,0.05513386652749687,0.028566989859341044,0.5920053328674908,1.1681078132479432,5.671193267951364,1.0198038457431071,58.43045629229048,11.697476067861336,2.4081685090101437,20.108498824501133,4.087879873639661,3.828147811721473,219.3367129638821,0.00015990692473006511,0.0008744960352871109,0.0022988030149334354,0.012740666542851345,0.08726073592493619,6.907598083908939,4.146512585169023,7.0,72.0,498.16618379205926,99.53916482902747,3.767912398801597,7.224345579743385,3.0360610263522885,6,0,0,0.4303115470392934,0.3204579501013848,0.5626785479521736,2.281938034119496,7.848000000000001,0.29076682391940567,3.0279234293848276
speed_KV1167_dugoff_pacejka_v4_mu08,speed,NVDB_KV1167,nvdb,,KV1167,3201,500.47253726483416,90,0.08781858111982094,0.012128119280210702,dugoff,pacejka,0.8,0.8,1.0,1.0,4.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.009738643518057666,0.07042325996944626,0.018608230895333953,0.4616569408806866,1.447520555479059,5.657068980615173,1.5389396656791112,88.17474776868698,10.963876277037818,2.7466330025632137,31.941422218104602,3.79497342965907,3.6141583057619977,207.0760174123146,0.00011371344499898898,0.0005218205396936719,0.0016682417740260923,0.013092872322441211,0.0871056213041409,4.0,4.0,4.0,79.9,320.1269529680038,63.96493895899883,10.1406736758646,236.84183321893215,9.32290362953692,220.0,1,0,0.35527077979859867,0.23375170972408532,0.20948595715905938,1.3936899408662544,7.848000000000001,0.17758536453443607,8.484304826706648
speed_KV1167_dugoff_pacejka_v6_mu08,speed,NVDB_KV1167,nvdb,,KV1167,3201,500.47253726483416,90,0.08781858111982094,0.012128119280210702,dugoff,pacejka,0.8,0.8,1.0,1.0,6.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.010515127435493089,0.04645115657566778,0.02296081601652065,0.5589265620296657,1.1797065634906159,5.667217278475416,1.1690622608886048,66.98233353693902,11.663890737673436,2.3776903008257224,17.10211926794157,3.738747487753757,3.875768525672265,222.06517889066225,0.00013633308780716875,0.0006890811239657307,0.0020058695282511646,0.0127554727092411,0.08701346560535277,5.968709529349075,4.152556938935289,6.0,79.9,477.6243288008659,95.43467288158557,3.7715711817145348,6.569515913724899,3.01875,5,0,0,0.44856659902969026,0.31651165334983794,0.437229382776329,1.777954546584911,7.848000000000001,0.22654874446800596,3.3560522040352225
speed_KV1167_dugoff_pacejka_v8_mu08,speed,NVDB_KV1167,nvdb,,KV1167,3201,500.47253726483416,90,0.08781858111982094,0.012128119280210702,dugoff,pacejka,0.8,0.8,1.0,1.0,8.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.014193313527943268,0.06132712136386472,0.032256543705624,0.6150049049079047,1.1781981537714703,5.676892778316237,0.8942824983099719,51.23861284557656,11.689353168110214,2.481907462512061,23.499405988521918,4.497882252180313,3.773741160227,216.21944145580966,0.00018974544491543593,0.0010057787972862352,0.002663937831365047,0.01318078365650921,0.0859724777490284,7.776906414862422,4.178003174782002,8.0,63.900000000000006,497.85040786239836,99.47606927309815,3.801330045098439,12.384828180074692,3.0515625,11,0,0,0.4165025789976871,0.32307816188152133,0.7029062078193584,2.624714096931964,7.848000000000001,0.3344436922696182,2.732888365164399
speed_KV1167_dugoff_pacejka_v10_mu08,speed,NVDB_KV1167,nvdb,,KV1167,3201,500.47253726483416,90,0.08781858111982094,0.012128119280210702,dugoff,pacejka,0.8,0.8,1.0,1.0,10.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.01740003055292088,0.06935200716052159,0.036273934821385814,0.6646688276291876,1.216412921522334,5.679218070226306,0.7541021392347731,43.206869899939264,11.729122063625043,2.6281276988420323,21.520231112993407,5.218071735341863,3.726165196900091,213.4935395509086,0.000250810786636534,0.0012096302135573861,0.0032871074598231505,0.014167670568096691,0.08587424601404893,9.206752611636214,4.18171686966211,10.0,54.0,498.2174473459088,99.5494078593703,3.889484127876719,20.169982686638832,3.1497227356746764,19,0,0,0.4174268154679675,0.3229563666217795,0.9563888410394399,4.330709653986741,7.848000000000001,0.5518233504060577,2.38048458378762
friction_KV1167_dugoff_pacejka_v7_muplant0.8,friction,NVDB_KV1167,nvdb,,KV1167,3201,500.47253726483416,90,0.08781858111982094,0.012128119280210702,dugoff,pacejka,0.8,0.8,1.0,1.0,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.012327040831974126,0.05513386652749687,0.028566989859341044,0.5920053328674908,1.1681078132479432,5.671193267951364,1.0198038457431071,58.43045629229048,11.697476067861336,2.4081685090101437,20.108498824501133,4.087879873639661,3.828147811721473,219.3367129638821,0.00015990692473006511,0.0008744960352871109,0.0022988030149334354,0.012740666542851345,0.08726073592493619,6.907598083908939,4.146512585169023,7.0,72.0,498.16618379205926,99.53916482902747,3.801642063276612,7.402186281979084,3.0360610263522885,6,0,0,0.4303115470392934,0.3204579501013848,0.5626785479521736,2.281938034119496,7.848000000000001,0.29076682391940567,3.0583962677046657
friction_KV1167_dugoff_pacejka_v7_muplant0.6,friction,NVDB_KV1167,nvdb,,KV1167,3201,500.47253726483416,90,0.08781858111982094,0.012128119280210702,dugoff,pacejka,0.8,0.6,1.0,1.0,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.012328855102318539,0.055133740838799725,0.028610770300898317,0.5921562382184888,1.1716435743084088,5.7422581597191575,1.0204657934375794,58.46838310144216,11.7168626109274,2.4134277303040355,20.802707233372082,4.096741538735546,3.832253301100317,219.57194017812563,0.00016027668010394877,0.0008771729366360227,0.0022911914352458473,0.012740620144399544,0.08726145816314804,6.907600118944293,4.146494930550129,7.0,72.0,498.16599516277074,99.53912713878985,3.7607961720509273,7.312408648431301,3.0332871012482663,6,0,0,0.4221474662668101,0.32687874809686057,0.562678227486306,2.28200457039692,5.886,0.3877004027177914,3.0240653976798058
friction_KV1167_dugoff_pacejka_v7_muplant0.4,friction,NVDB_KV1167,nvdb,,KV1167,3201,500.47253726483416,90,0.08781858111982094,0.012128119280210702,dugoff,pacejka,0.8,0.4,1.0,1.0,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.012308642239558135,0.05513268905249477,0.02870590470418128,0.5910985076620685,1.1757176328879768,5.887889964594847,1.0206984293445314,58.48171215707371,11.54649437532102,2.41593460132372,22.87270070762949,4.121843801613088,3.8388293441810672,219.94871969254885,0.0001604798078223889,0.0008705729752209467,0.0022669987118393896,0.012740498651746786,0.08726317501146826,6.907604655646048,4.146452963367704,7.0,72.0,498.1651067949625,99.53894963298444,3.796307354566128,8.930006064474583,3.0471567267683772,8,0,0,0.43503799907181473,0.3422253177800228,0.5626764319523563,2.28286387857451,3.9240000000000004,0.5817695918895285,3.0631887167692184
friction_KV1167_dugoff_pacejka_v7_muplant0.3,friction,NVDB_KV1167,nvdb,,KV1167,3201,500.47253726483416,90,0.08781858111982094,0.012128119280210702,dugoff,pacejka,0.8,0.3,1.0,1.0,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.012334534442887091,0.05512933573337271,0.02834426826583203,0.5915012040670526,1.174139190209729,5.88836384728644,1.0189174027049273,58.37966684742402,11.714630071782972,2.416123860412479,26.312086302340823,4.171699405041664,3.870304280429935,221.75210070005227,0.0001630190357067125,0.0008541189709046696,0.002226739237694656,0.012740374689951596,0.0872679733918409,6.90761112241033,4.14633567024281,7.0,72.0,498.1644616093892,99.53882071770431,3.797222340890257,19.176886416971684,3.0762829403606102,17,0,0,0.4407462461953188,0.34256250992270765,0.5626758061327519,2.28268778237694,2.943,0.7756329535769418,3.049500059336424
stiffness_KV1167_dugoff_pacejka_v7_scaleplant0.7,stiffness,NVDB_KV1167,nvdb,,KV1167,3201,500.47253726483416,90,0.08781858111982094,0.012128119280210702,dugoff,pacejka,0.8,0.8,1.0,0.7,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.011613415762979574,0.05537866737520056,0.025640276592152015,0.5628156894868492,1.1368181103306492,5.454314913397446,0.9786474288890391,56.072367306671296,13.065954613234979,2.5017477757349047,23.406028595500885,4.5183219200346585,4.2732788150247965,244.84084078358643,0.00013257823323741972,0.0006414787539936023,0.0019308823043129135,0.012737246901568642,0.08722323680527745,6.907710458799221,4.147429225490121,7.0,72.0,498.12876250487375,99.53168763809309,3.8090649147449516,30.740952119231224,3.08876560332871,30,0,0,0.4449443926299512,0.3341580161286039,0.5626032614051738,2.31074884280446,7.848000000000001,0.2944379259434836,3.057028466835618
stiffness_KV1167_dugoff_pacejka_v7_scaleplant1.0,stiffness,NVDB_KV1167,nvdb,,KV1167,3201,500.47253726483416,90,0.08781858111982094,0.012128119280210702,dugoff,pacejka,0.8,0.8,1.0,1.0,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.012327040831974126,0.05513386652749687,0.028566989859341044,0.5920053328674908,1.1681078132479432,5.671193267951364,1.0198038457431071,58.43045629229048,11.697476067861336,2.4081685090101437,20.108498824501133,4.087879873639661,3.828147811721473,219.3367129638821,0.00015990692473006511,0.0008744960352871109,0.0022988030149334354,0.012740666542851345,0.08726073592493619,6.907598083908939,4.146512585169023,7.0,72.0,498.16618379205926,99.53916482902747,3.7629898423109407,7.2310371324419975,3.0360610263522885,6,0,0,0.4303115470392934,0.3204579501013848,0.5626785479521736,2.281938034119496,7.848000000000001,0.29076682391940567,3.022810148075223
stiffness_KV1167_dugoff_pacejka_v7_scaleplant1.3,stiffness,NVDB_KV1167,nvdb,,KV1167,3201,500.47253726483416,90,0.08781858111982094,0.012128119280210702,dugoff,pacejka,0.8,0.8,1.0,1.3,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.013820245806798387,0.05475637550647446,0.030409674277159623,0.7048250569108419,1.1706962468524458,5.433544378832393,1.0407207823066478,59.62890847772424,11.55681710631994,2.3646952291090226,20.440626693913423,3.9356332749588656,3.6590163284901127,209.6461927919375,0.000189121151860665,0.0009572070789191157,0.0024447997113070416,0.012759783658947418,0.08726422273834564,6.907413804552974,4.146427352401098,7.0,71.9,497.48373622248533,99.40280418608319,3.785794119661053,8.09883326292038,3.0347222222222223,7,0,0,0.39920385184591944,0.28972222284883037,0.5634836129213904,2.270445072010924,7.848000000000001,0.2893023792062849,3.0411648862063885
solver_KV1167_dugoff_pacejka_N12,solver,NVDB_KV1167,nvdb,,KV1167,3201,500.47253726483416,90,0.08781858111982094,0.012128119280210702,dugoff,pacejka,0.8,0.8,1.0,1.0,7.0,3.0,10.0,1.5,12,0.1,80.0,False,,0.012168257727947794,0.05530909685549331,0.026728498147749934,0.5900032878506244,1.1920120745456335,5.805995938818713,1.0394737342577378,59.557457887671674,11.675182150120685,2.409717027667941,20.101911753129944,4.148554570139743,3.877007062670413,222.13614183342693,0.00018362715752928273,0.001017968304701767,0.0023181262637829744,0.012759362222758456,0.0872988528001949,6.907444431177007,4.145580844234986,7.0,71.9,497.4790635684747,99.40187053764843,3.0490849076563284,6.517209112644196,3.025,7,0,0,0.4265836678903972,0.32216459746076515,0.5634821768929845,2.265653053576726,7.848000000000001,0.2886917754302658,2.448183523491025
solver_KV1167_dugoff_pacejka_N18,solver,NVDB_KV1167,nvdb,,KV1167,3201,500.47253726483416,90,0.08781858111982094,0.012128119280210702,dugoff,pacejka,0.8,0.8,1.0,1.0,7.0,3.0,10.0,1.5,18,0.1,80.0,False,,0.012327040831974126,0.05513386652749687,0.028566989859341044,0.5920053328674908,1.1681078132479432,5.671193267951364,1.0198038457431071,58.43045629229048,11.697476067861336,2.4081685090101437,20.108498824501133,4.087879873639661,3.828147811721473,219.3367129638821,0.00015990692473006511,0.0008744960352871109,0.0022988030149334354,0.012740666542851345,0.08726073592493619,6.907598083908939,4.146512585169023,7.0,72.0,498.16618379205926,99.53916482902747,3.8230161811644923,7.343555800616741,3.0360610263522885,6,0,0,0.4303115470392934,0.3204579501013848,0.5626785479521736,2.281938034119496,7.848000000000001,0.29076682391940567,3.0946225989609957
solver_KV1167_dugoff_pacejka_N25,solver,NVDB_KV1167,nvdb,,KV1167,3201,500.47253726483416,90,0.08781858111982094,0.012128119280210702,dugoff,pacejka,0.8,0.8,1.0,1.0,7.0,3.0,10.0,1.5,25,0.1,80.0,False,,0.012389630403546894,0.055252027764399685,0.029340717971476082,0.5923018574485222,1.1664701017365375,5.659379142387445,1.0189024372045612,58.37880938741475,11.68924279072252,2.4080911483265455,20.052001419644707,4.081476262183737,3.822146507156624,218.99286354074366,0.00016020131879535275,0.0008821021426709917,0.002328239016057427,0.012740643235280819,0.08725852800422763,6.907598126411102,4.1465665562799625,7.0,72.0,498.16612946556205,99.53915397398686,4.632868425566677,8.90086218714714,3.0332871012482663,6,0,0,0.430201317922764,0.32048106053360886,0.5626778095806805,2.2824737870194296,7.848000000000001,0.290835090089122,3.7231753449887037
